id|user|brewery|name|abv|rating|style|country|drink_country|drink_city|drink_datetime|notes|creation_datetime|last_updated|country_iso|brew_with|brew_year|search_string
11|1|Ballast Point|Grunion|5.5|2.2|American Pale Ale|USA|USA|Berkeley|2015-06-01 0:00:00||2015-07-04 0:26:30|2015-07-04 0:26:30|us||\N|Ballast Point Grunion American Pale Ale USA 
14|1|Alaskan|Imperial Red|8.5|3|American Strong Ale|USA|USA|Juneau|2015-06-01 0:00:00||2015-07-04 0:28:09|2015-07-04 0:28:09|us||\N|Alaskan Imperial Red American Strong Ale USA 
15|1|Alaskan|Summer Ale|5.3|2.2|Kölsch|USA|USA|Juneau|2015-06-01 0:00:00||2015-07-04 0:28:41|2015-07-04 0:28:41|us||\N|Alaskan Summer Ale Kölsch USA 
17|1|Reuben's|Robust Porter|5.9|2.5|Porter|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:31:34|2015-07-04 0:31:34|us||\N|Reuben's Robust Porter Porter USA 
18|1|Baltika|9|8|2|Imperial Pils|Russia|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:32:24|2015-07-04 0:32:24|ru||\N|Baltika 9 Imperial Pils Russia 
19|1|Skookum|Contract High IPA|9|2.7|Double IPA|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:33:47|2015-07-04 0:33:47|us||\N|Skookum Contract High IPA Double IPA USA 
20|1|Bainbridge|Single Hop Pale Ale|5.4|1.3|American Pale Ale|USA|USA|Seattle|2015-06-01 0:00:00|Which single hop it was was unmarked :(|2015-07-04 0:34:31|2015-07-04 0:34:31|us||\N|Bainbridge Single Hop Pale Ale American Pale Ale USA 
21|1|Northwest Brewing|Din Tai Fung|4|2.5|Golden Ale|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:36:11|2015-07-04 0:36:11|us||\N|Northwest Brewing Din Tai Fung Golden Ale USA 
22|1|Anchorage|Anadromous|8.5|3|Sour|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:37:48|2015-07-04 0:37:48|us||\N|Anchorage Anadromous Sour USA 
25379|1|BrewDog|I Hardcore You|9.5|3.9|Double IPA|Scotland|Scotland|Aberdeen|2014-06-01 0:00:00|With Mikkeller|2015-06-08 2:02:55|2015-06-08 2:02:55|gb|Mikkeller|\N|BrewDog I Hardcore You Double IPA Scotland Mikkeller
23|1|Hale|Abe Lincoln Lemon|5.5|2.5|Fruit Beer|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:38:15|2015-07-04 0:38:15|us|Diamond Knot|\N|Hale Abe Lincoln Lemon Fruit Beer USA Diamond Knot
24|1|Hale|Imperial Golden Ale|6.7|3.3|Golden Ale|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:38:33|2015-07-04 0:38:33|us||\N|Hale Imperial Golden Ale Golden Ale USA 
25|1|Hale|Bill'sner|5.1|2.2|Pilsener|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:38:47|2015-07-04 0:38:47|us||\N|Hale Bill'sner Pilsener USA 
25384|1|BrewDog|Shipwrecker Circus|10.5|3|Barley Wine|Scotland|Scotland|Aberdeen|2014-06-01 0:00:00|With Oskar Blues|2015-06-08 2:02:56|2015-06-08 2:02:56|gb|Oskar Blues|\N|BrewDog Shipwrecker Circus Barley Wine Scotland Oskar Blues
26|1|Hale|Shed Stout|8.2|2.9|Imperial Stout|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:39:03|2015-07-04 0:39:03|us||\N|Hale Shed Stout Imperial Stout USA 
27|1|Hale|New Trick Ale|8|2.6|Smoked|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:39:26|2015-07-04 0:39:26|us|Chuckanut|\N|Hale New Trick Ale Smoked USA Chuckanut
28|1|Hale|Akademik|11|3.4|Imperial Stout|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:40:04|2015-07-04 0:40:04|us||\N|Hale Akademik Imperial Stout USA 
30|1|Reuben's|Summer IPA|6.8|2.8|IPA|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:40:40|2015-07-04 0:40:40|us||\N|Reuben's Summer IPA IPA USA 
31|1|Reuben's|American Rye|5.4|1.7|Specialty Grain|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:41:06|2015-07-04 0:41:06|us||\N|Reuben's American Rye Specialty Grain USA 
32|1|Reuben's|American Rye with Extra Grapefruit|5.4|1.3|Specialty Grain|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:41:37|2015-07-04 0:41:37|us||\N|Reuben's American Rye with Extra Grapefruit Specialty Grain USA 
33|1|Reuben's|Hop Tropic|6.2|2.2|American Pale Ale|USA|USA|Seattle|2015-06-01 0:00:00|Zeek's House Ale|2015-07-04 0:43:11|2015-07-04 0:43:11|us||\N|Reuben's Hop Tropic American Pale Ale USA 
35|1|Peddler|Berliner Weisse|3.1|2|Berliner Weisse|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:44:01|2015-07-04 0:44:01|us||\N|Peddler Berliner Weisse Berliner Weisse USA 
25396|1|8º|Horn8's Nest|5.5|3.4|IPA|Ireland|Ireland|Dublin|2014-06-01 0:00:00|With By the Horns|2015-06-08 2:02:56|2015-06-08 2:02:56|ie|By the Horns|\N|8º Horn8's Nest IPA Ireland By the Horns
36|1|Peddler|Tangerine Hefeweizen|5|2.1|Fruit Beer|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:44:58|2015-07-04 0:44:58|us||\N|Peddler Tangerine Hefeweizen Fruit Beer USA 
37|1|Peddler|The Dark Side|4|2.2|Schwarzbier|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:45:11|2015-07-04 0:45:11|us||\N|Peddler The Dark Side Schwarzbier USA 
38|1|Peddler|Belgian Wit|4.3|3|Belgian White|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:46:30|2015-07-04 0:46:30|us||\N|Peddler Belgian Wit Belgian White USA 
39|1|Peddler|Coffee Saison|6.6|2.8|Saison|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:46:49|2015-07-04 0:46:49|us||\N|Peddler Coffee Saison Saison USA 
41|1|Hilliard's|Suffering Bastard|7.6|4.5|Saison|USA|USA|Seattle|2015-06-01 0:00:00|Best way to end a drunken birthday|2015-07-04 0:49:10|2015-07-04 0:49:10|us||\N|Hilliard's Suffering Bastard Saison USA 
42|1|Hilliard's|Zwickelbier|4.6|2.5|Zwickel|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 1:03:49|2015-07-04 1:03:49|us||\N|Hilliard's Zwickelbier Zwickel USA 
43|1|Hilliard's|Saison|6.6|2.6|Saison|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 1:04:18|2015-07-04 1:04:18|us||\N|Hilliard's Saison Saison USA 
45|1|Jolly Pumpkin|Baudelaire Beer|6.8|3.2|Saison|USA|USA|Seattle|2015-06-01 0:00:00|iO Saison|2015-07-04 1:05:41|2015-07-04 1:05:41|us||\N|Jolly Pumpkin Baudelaire Beer Saison USA 
46|1|Stone|Hifi+Lofi Mixtape|8.8|2|American Strong Ale|USA|USA|Berkeley|2015-06-01 0:00:00||2015-07-04 1:09:09|2015-07-04 1:09:09|us||\N|Stone Hifi+Lofi Mixtape American Strong Ale USA 
47|1|Midnight Sun|Hibernator|7.4|3|Smoked|USA|USA|Berkeley|2015-06-01 0:00:00|Good with smoked gouda|2015-07-04 1:09:37|2015-07-04 1:09:37|us||2014|Midnight Sun Hibernator Smoked USA 
48|1|Mikkeller|Single Hop Simcoe IPA|6.9|2.2|IPA|Denmark|USA|Oakland|2015-06-01 0:00:00||2015-07-04 1:11:03|2015-07-04 1:11:03|dk||\N|Mikkeller Single Hop Simcoe IPA IPA Denmark 
49|1|Sierra Nevada|Ovila Saison - Mandarin Orange & Peppercorns|7.5|3.5|Saison|USA|USA|Oakland|2015-06-01 0:00:00||2015-07-04 1:25:43|2015-07-04 1:25:43|us||\N|Sierra Nevada Ovila Saison - Mandarin Orange & Peppercorns Saison USA 
50|1|Tahoe Mountain|Hot Pants|3.2|3|Berliner Weisse|USA|USA|Oakland|2015-06-01 0:00:00||2015-07-04 1:26:05|2015-07-04 1:26:05|us||\N|Tahoe Mountain Hot Pants Berliner Weisse USA 
51|1|Ballast Point|Habañero Sculpin|7|1.5|Spice|USA|USA|Oakland|2015-06-01 0:00:00||2015-07-04 1:27:12|2015-07-04 1:27:12|us||\N|Ballast Point Habañero Sculpin Spice USA 
52|1|Stillwater|Mono|5.2|1.9|Premium Lager|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:29:56|2015-08-03 3:29:56|us||\N|Stillwater Mono Premium Lager USA 
53|1|Evil Twin|Soft DK|10.4|2|Imperial Stout|Denmark|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:32:07|2015-08-03 3:32:07|dk||\N|Evil Twin Soft DK Imperial Stout Denmark 
55|1|Time Capsule|July '14|4.2|2.8|Saison|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:33:05|2015-08-03 3:33:05|us||2014|Time Capsule July '14 Saison USA 
58|1|Stillwater|Stereo|7|3|IPA|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:34:12|2015-08-03 3:34:12|us||\N|Stillwater Stereo IPA USA 
59|1|Jupiter|Orbiting Melon|7.25|2.5|IPA|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:36:59|2015-08-03 3:36:59|us||\N|Jupiter Orbiting Gourd IPA USA 
61|1|Midnight Sun|Arctic Devil|13.2|3.7|Barley Wine|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:38:49|2015-08-03 3:38:49|us||\N|Midnight Sun Arctic Devil Barley Wine USA 
62|1|Firestone Walker|§ucaba|13|3.4|Barley Wine|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:39:29|2015-08-03 3:39:29|us||2015|Firestone Walker §ucaba Barley Wine USA 
64|1|Boulevard|Tell Tale Tart|6.2|2.3|Sour|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:40:42|2015-08-03 3:40:42|us||\N|Boulevard Tell Tale Tart Sour USA 
60|1|Stillwater|Vacuum|8|2.8|Smoked|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:38:13|2015-08-03 3:38:13|us||\N|Stillwater Vacuum Smoked USA 
25185|1|Sierra Nevada|Knightro|4.6|2.5|Dry Stout|USA|USA|Berkeley|2014-01-01 0:00:00||2015-06-08 2:02:42|2015-06-08 2:02:42|us||\N|Sierra Nevada Knightro Dry Stout USA 
65|1|Dogfish Head|Indian Brown Ale|7.2|2.5|Brown Ale|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:41:54|2015-08-03 3:41:54|us||\N|Dogfish Head Indian Brown Ale Brown Ale USA 
66|1|Sierra Nevada|Barrel-Aged Tripel|10.6|3.7|Abbey Tripel|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:42:18|2015-08-03 3:42:18|us||\N|Sierra Nevada Barrel-Aged Tripel Abbey Tripel USA 
67|1|Sierra Nevada|Common Around|5.2|1.9|California Common|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:43:14|2015-08-03 3:43:14|us||\N|Sierra Nevada Common Around California Common USA 
68|1|Sierra Nevada|India Farmhouse Ale|5.9|2.3|Saison|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:43:31|2015-08-03 3:43:31|us||\N|Sierra Nevada India Farmhouse Ale Saison USA 
69|1|Sierra Nevada|Hoptinite|7.2|2.6|IPA|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:43:50|2015-08-03 3:43:50|us||\N|Sierra Nevada Hoptinite IPA USA 
70|1|Sierra Nevada|Kitchen Sync|6|2.5|American Pale Ale|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:44:09|2015-08-03 3:44:09|us||\N|Sierra Nevada Kitchen Sync American Pale Ale USA 
71|1|Sierra Nevada|Nibs o' Steel|9|2.8|Imperial Stout|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:45:19|2015-08-03 3:45:19|us||\N|Sierra Nevada Nibs o' Steel Imperial Stout USA 
72|1|Sierra Nevada|Stout|5.8|2.4|Stout|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:47:09|2015-08-03 3:47:09|us||\N|Sierra Nevada Stout Stout USA 
25381|1|BrewDog|Watt Dickie|35|0.5|Eisbock|Scotland|Scotland|Aberdeen|2014-06-01 0:00:00|Disgusting. Tasted like anise...but worse.|2015-06-08 2:02:55|2015-06-08 2:02:55|gb||\N|BrewDog Watt Dickie Eisbock Scotland 
25387|1|Top Out|Smoked|5.6|3.9|Porter|Scotland|Scotland|Edinburgh|2014-06-01 0:00:00|Number 1000!!! Drank on top of a mountian.|2015-06-08 2:02:56|2015-06-08 2:02:56|gb||\N|Top Out Smoked Porter Scotland 
24599|1|Widmer Brothers|Omission|4.6|2.3|Specialty Grain|USA|USA|Ithaca|2012-08-01 0:00:00|Gluten Free|2015-06-08 2:02:18|2015-06-08 2:02:18|us||\N|Widmer Brothers Omission Specialty Grain USA 
24610|1|Magic Hat|Blind Faith|6.2|0.8|IPA|USA|USA|Ithaca|2012-09-01 0:00:00|Actually didn't finish it, poured it out halfway through|2015-06-08 2:02:19|2015-06-08 2:02:19|us||\N|Magic Hat Blind Faith IPA USA 
57|1|Stone|Ruination 2.0|8.5|2.5|Double IPA|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:33:57|2015-08-03 3:33:57|us||\N|Stone Ruination 2.0 Imperial IPA USA 
56|1|Boulevard|Calling IPA|8.5|2.8|Double IPA|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:33:29|2015-08-03 3:33:29|us||\N|Boulevard Calling IPA Imperial IPA USA 
40|1|Peddler|VeloHoptor|8.3|2.7|Double IPA|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:47:31|2015-07-04 0:47:31|us||\N|Peddler VeloHoptor Imperial IPA USA 
29|1|Reuben's|Blimey That's Bitter|10.5|2.8|Double IPA|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:40:21|2015-07-04 0:40:21|us||\N|Reuben's Blimey That's Bitter Imperial IPA USA 
54|1|Off Color|Scurry|5.3|1.7|Traditional Ale|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:32:34|2015-08-03 3:32:34|us||\N|Off Color Scurry Traditional Ale USA 
73|1|Sierra Nevada|Bigfoot 2012|9.6|3.2|Barley Wine|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:48:13|2017-12-27 21:27:14|us||2012|Sierra Nevada Bigfoot Barley Wine USA 
74|1|Sierra Nevada|Bigfoot 2010|9.6|3|Barley Wine|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:48:34|2017-12-27 21:27:27|us||2010|Sierra Nevada Bigfoot Barley Wine USA 
75|1|Sierra Nevada|Bigfoot 2009|9.6|3.4|Barley Wine|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:49:00|2017-12-27 21:27:01|us||2009|Sierra Nevada Bigfoot Barley Wine USA 
44|1|Ninkasi|Ground Control|10|3|Imperial Stout|USA|USA|Seattle|2015-06-01 0:00:00|It's beer from space! or something! Space!|2015-07-04 1:04:45|2016-07-03 20:32:00|us||\N|Ninkasi Ground Control Imperial Stout USA 
3|1|Cigar City|Jai Alai|7.5|2.5|IPA|USA|USA|Fort Lauderdale|2015-06-01 0:00:00||2015-07-04 0:21:41|2015-07-04 0:21:41|us||\N|Cigar City Jai Alai IPA USA 
6|1|Sweetwater|IPA|6.4|2.8|IPA|USA|USA|Atlanta|2015-06-01 0:00:00||2015-07-04 0:23:39|2015-07-04 0:23:39|us||\N|Sweetwater IPA IPA USA 
7|1|Sweetwater|Road Trip|5.2|3.1|California Common|USA|USA|Atlanta|2015-06-01 0:00:00||2015-07-04 0:23:53|2015-07-04 0:23:53|us||\N|Sweetwater Road Trip California Common USA 
12|1|New Belgium|Skinny Dip|4.2|1.6|Belgian Ale|USA|USA|Berkeley|2015-06-01 0:00:00||2015-07-04 0:26:47|2015-07-04 0:26:47|us||\N|New Belgium Skinny Dip Belgian Ale USA 
13|1|Coors|Light|4.2|0.6|Pale Lager|USA|USA|Seattle|2015-06-01 0:00:00||2015-07-04 0:27:38|2015-07-04 0:27:38|us||\N|Coors Light Pale Lager USA 
16|1|Vancouver Island|Spyhopper|5|1.7|Brown Ale|Canada|Canada|Victoria|2015-06-01 0:00:00||2015-07-04 0:30:10|2015-07-04 0:30:10|ca||\N|Vancouver Island Spyhopper Brown Ale Canada 
25457|1|Woods|BTO|6.3|2.3|Dunkler Bock|USA|USA|San Francisco|2014-08-01 0:00:00|Renamed from Cerveceria de Matéveza"|2015-06-08 2:03:01|2016-08-06 5:49:32|us||\N|Cerveceria de Matéveza BTO Dunkler Bock USA 
25424|1|Sierra Nevada|Myron's Walk|5.3|2.5|Belgian Ale|USA|USA|Berkeley|2014-07-01 0:00:00|With Allagash|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Allagash|\N|Sierra Nevada Myron's Walk Belgian Ale USA Allagash
25425|1|Sierra Nevada|Chico King|6.5|2.6|American Pale Ale|USA|USA|Berkeley|2014-07-01 0:00:00|with Floyd's|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Floyd's|\N|Sierra Nevada Chico King American Pale Ale USA Floyd's
25426|1|Sierra Nevada|Torpedo Pilsner|5.2|2|Pilsener|USA|USA|Berkeley|2014-07-01 0:00:00|With Firestone Walker|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Firestone Walker|\N|Sierra Nevada Torpedo Pilsner Pilsener USA Firestone Walker
25429|1|Sierra Nevada|There and Back|5.6|2.3|Bitter|USA|USA|Berkeley|2014-07-01 0:00:00|With New Glarus|2015-06-08 2:02:59|2015-06-08 2:02:59|us|New Glarus|\N|Sierra Nevada There and Back Bitter USA New Glarus
25430|1|Sierra Nevada|Tater Ridge|7|2.2|Spice|USA|USA|Berkeley|2014-07-01 0:00:00|With Ashville Brewer's Alliance|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Ashville Brewer's Alliance|\N|Sierra Nevada Tater Ridge Spice USA Ashville Brewer's Alliance
25431|1|Sierra Nevada|Alt Route|6.6|2.8|Altbier|USA|USA|Berkeley|2014-07-01 0:00:00|With Victory|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Victory|\N|Sierra Nevada Alt Route Altbier USA Victory
25432|1|Sierra Nevada|Yvan the Great|6.3|2.5|Belgian Ale|USA|USA|Berkeley|2014-07-01 0:00:00|With Russian River|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Russian River|\N|Sierra Nevada Yvan the Great Belgian Ale USA Russian River
25433|1|Sierra Nevada|Electric Ray|8.5|2|Imperial Pils|USA|USA|Berkeley|2014-07-01 0:00:00|With Ballast Point|2015-06-08 2:02:59|2015-06-08 2:02:59|us|Ballast Point|\N|Sierra Nevada Electric Ray Imperial Pils USA Ballast Point
25438|1|Sierra Nevada|Double Latte|7.6|3|Sweet Stout|USA|USA|Berkeley|2014-07-01 0:00:00|With Ninkasi|2015-06-08 2:03:00|2015-06-08 2:03:00|us|Ninkasi|\N|Sierra Nevada Double Latte Sweet Stout USA Ninkasi
25469|1|Stone|Unapologetic IPA|9|2.3|Double IPA|USA|USA|Oakland|2014-08-01 0:00:00|With Beachwood and Heretic|2015-06-08 2:03:02|2015-06-08 2:03:02|us|Beachwood and Heretic|\N|Stone Unapologetic IPA Double IPA USA Beachwood and Heretic
25464|1|Lindemans|Cassis|3.5|3.3|Lambic|Belgium|USA|Berkeley|2014-08-01 0:00:00|Smells horrible, but tastes good|2015-06-08 2:03:02|2015-06-08 2:03:02|be||\N|Lindemans Cassis Lambic Belgium 
76|1|Stone|Pale Ale 2.0|6|1.6|American Pale Ale|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:51:46|2015-08-03 3:51:46|us||\N|Stone Pale Ale 2.0 American Pale Ale USA 
77|1|Black Diamond|Tripel Plum|9|3|Belgian Strong Ale|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:52:57|2015-08-03 3:52:57|us||\N|Black Diamond Tripel Plum Belgian Strong Ale USA 
79|1|Evil Twin|Ashtray Heart|8.9|1.6|Smoked|Denmark|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:53:56|2015-08-03 3:53:56|dk||\N|Evil Twin Ashtray Heart Smoked Denmark 
81|1|Prairie|Brett C|8.1|2.6|Saison|USA|USA|Oakland|2015-07-01 0:00:00||2015-08-03 3:54:31|2015-08-03 3:54:31|us||\N|Prairie Brett C Saison USA 
83|1|Stillwater|Projector|9|3.5|Specialty Grain|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:55:38|2015-08-03 3:55:38|us||\N|Stillwater Projector Specialty Grain USA 
84|1|Sierra Nevada|Trip in the Woods Barrel-Aged Lime Ale|9.3|2.8|American Strong Ale|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:57:26|2015-08-03 3:57:26|us||\N|Sierra Nevada Trip in the Woods Barrel-Aged Lime Ale American Strong Ale USA 
25803|1|Brouwerij Bosteels|Pauwel Kwak|8.4|2.9|Belgian Strong Ale|Belgium|Netherlands|Amsterdam|2015-03-01 0:00:00||2015-06-08 2:03:34|2015-06-08 2:03:34|be||\N|Pauwel Kwak Belgian Strong Ale Belgium 
85|1|Brouwerij Bosteels|Tripel Karmeliet|8.4|2.5|Abbey Tripel|Belgium|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:59:30|2015-08-03 3:59:30|be||\N|Brouwerij Bosteels Tripel Karmeliet Abbey Tripel Belgium 
86|1|Dubuisson|Bush Ambrée (Scaldis)|12|1.8|Belgian Strong Ale|Belgium|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 4:01:02|2015-08-03 4:01:02|be||\N|Dubuisson Bush Ambrée (Scaldis) Belgian Strong Ale Belgium 
87|1|21st Amendment|Mr. Poom's Thai'd House Ale|5.3|1.3|Wheat Ale|USA|USA|San Francisco|2015-07-01 0:00:00||2015-08-03 4:04:37|2015-08-03 4:04:37|us||\N|21st Amendment Mr. Poom's Thai'd House Ale Wheat Ale USA 
88|1|21st Amendment|Wild and Scenic|4.8|1.4|Golden Ale|USA|USA|San Francisco|2015-07-01 0:00:00||2015-08-03 4:07:41|2015-08-03 4:07:41|us||\N|21st Amendment Wild and Scenic Golden Ale USA 
89|1|21st Amendment|Down to Earth|4.4|2|IPA|USA|USA|San Francisco|2015-07-01 0:00:00||2015-08-03 4:08:05|2015-08-03 4:08:05|us||\N|21st Amendment Down to Earth IPA USA 
90|1|21st Amendment|Dankopotamus|6.8|2.1|IPA|USA|USA|San Francisco|2015-07-01 0:00:00||2015-08-03 4:09:32|2015-08-03 4:09:32|us||\N|21st Amendment Dankopotamus IPA USA 
91|1|21st Amendment|Ales for ALS|7|2.2|Amber Ale|USA|USA|San Francisco|2015-07-01 0:00:00||2015-08-03 4:09:55|2015-08-03 4:09:55|us||\N|21st Amendment Ales for ALS Amber Ale USA 
25506|1|Faction|Tenderloin Wit|4.5|3.4|Belgian White|USA|USA|Berkeley|2014-09-01 0:00:00|With Mikkeller|2015-06-08 2:03:05|2015-06-08 2:03:05|us|Mikkeller|\N|Faction Tenderloin Wit Belgian White USA Mikkeller
92|1|Dust Bowl|Hobo|5.3|2.7|Pilsener|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 4:10:23|2015-08-03 4:10:23|us||\N|Dust Bowl Hobo Pilsener USA 
82|1|Gigantic|White Light, White Heat|8.2|3|Double IPA|USA|USA|Oakland|2015-07-01 0:00:00||2015-08-03 3:55:21|2015-08-03 3:55:21|us||\N|Gigantic White Light, White Heat Imperial IPA USA 
78|1|Ninkasi|Rich's Brew|8.5|2.5|Double IPA|USA|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:53:13|2015-08-03 3:53:13|us||\N|Ninkasi Rich's Brew Imperial IPA USA 
80|1|Evil Twin|Yin & Yang|10|2.9|Black IPA|Denmark|USA|Berkeley|2015-07-01 0:00:00||2015-08-03 3:54:13|2015-08-03 3:54:13|dk||\N|Evil Twin Yin & Yang Black IPA USA 
25559|1|Faction|Anomaly White Chocolate Milk Stout|6.5|2.2|Spice|USA|USA|Alameda|2014-11-01 0:00:00|A stout that looks like a pale ale....|2015-06-08 2:03:10|2016-07-03 20:32:16|us||\N|Faction Anomaly White Chocolate Milk Stout Spice USA 
25534|1|Fort Point|Manzanita|6.3|2.7|Smoked|USA|USA|Berkeley|2014-10-01 0:00:00|With Freigeist|2015-06-08 2:03:08|2015-06-08 2:03:08|us|Freigeist|\N|Fort Point Manzanita Smoked USA Freigeist
25537|1|Mission|Workday IPA|7|2.7|IPA|USA|USA|Berkeley|2014-10-01 0:00:00|With Eureka!|2015-06-08 2:03:08|2015-06-08 2:03:08|us|Eureka!|\N|Mission Workday IPA IPA USA Eureka!
